utility_median_emply_inc_job, fin_insur_num_jobs_000, pro_tech_servc_median_emply_inc_job, tot_num_jobs_000, whsl_trade_median_emply_inc_job, pro_tech_servc_num_jobs_000, agri_frsty_fish_median_emply_inc_job, admt_supp_num_jobs_000, arts_rec_num_jobs_000, oth_median_emply_inc_job, tot_median_emply_inc_job, cons_median_emply_inc_job, rtl_trade_num_jobs_000, fin_insur_median_emply_inc_job, agri_frsty_fish_num_jobs_000, hlth_care_soc_asst_num_jobs_000, pub_admt_safety_num_jobs_000, utility_num_jobs_000, info_med_telecommunications_num_jobs_000, whsl_trade_num_jobs_000, trns_pstl_whse_num_jobs_000, mining_num_jobs_000, accom_food_median_emply_inc_job, sa2_name, accom_food_num_jobs_000, trns_pstl_whse_median_emply_inc_job, admt_supp_median_emply_inc_job, rent_hiring_rlst_median_emply_inc_job, hlth_care_soc_asst_median_emply_inc_job, mining_median_emply_inc_job, arts_rec_median_emply_inc_job, edu_training_median_emply_inc_job, rtl_trade_median_emply_inc_job, info_med_telecommunications_median_emply_inc_job, cons_num_jobs_000, sa2_main16, manu_num_jobs_000, pub_admt_safety_median_emply_inc_job, oth_num_jobs_000, manu_median_emply_inc_job, rent_hiring_rlst_num_jobs_000, edu_training_num_jobs_000
63376.0,0.12,19011.0,4.984,25425.0,0.19,13230.0,0.233,0.07,30437.5,21175.0,22346.0,0.529,26146.0,0.356,0.57,0.42,0.053,0.034,0.147,0.243,null,6840.0,"Bega-Eden Hinterland",0.481,30170.0,20696.5,14135.5,33322.5,null,6849.5,18685.5,14269.5,28281.0,0.327,101041020,0.356,39413.5,0.152,51149.0,0.089,0.428
53199.0,0.051,11585.0,1.722,null,0.046,4950.0,0.085,0.028,10550.0,18620.0,21601.0,0.245,18428.0,0.02,0.23,0.166,0.041,0.035,null,0.069,null,9812.5,"Broulee - Tomakin",0.189,21710.0,7039.0,11081.0,28990.5,null,3196.0,30517.0,12629.0,12478.5,0.097,101041021,0.049,45854.5,0.033,28120.0,0.034,0.216
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Deua - Wadbilliga",null,null,null,null,null,null,null,null,null,null,null,101041022,null,null,null,null,null,null
null,0.039,29049.0,2.083,20020.0,0.073,14613.5,0.074,null,18277.0,18564.0,24110.0,0.274,13652.5,0.175,0.196,0.117,null,null,0.058,0.149,null,10400.0,"Eden",0.257,16395.5,17315.5,20089.0,28417.0,null,null,22469.5,11831.5,null,0.123,101041023,0.206,28367.0,0.07,42433.0,0.047,0.13
56930.0,0.06,17823.0,2.016,null,0.086,15755.0,0.109,0.045,20034.0,18605.0,23657.0,0.213,21669.0,0.078,0.236,0.17,0.025,null,null,0.061,0.023,7753.0,"Eurobodalla Hinterland",0.229,25660.0,7756.5,15079.0,26012.0,72974.5,11839.0,18182.0,14869.0,null,0.141,101041024,0.107,35037.0,0.086,13612.0,0.044,0.186
60782.0,0.217,22115.5,6.214,35432.5,0.253,16910.0,0.306,0.099,18113.5,20687.0,30663.0,0.762,22091.0,0.141,0.714,0.408,0.051,0.057,0.143,0.192,0.035,8573.0,"Merimbula - Tura Beach",1.053,23113.5,15401.0,14406.0,35672.0,88192.5,6681.5,28817.0,16987.5,12224.0,0.396,101041025,0.34,37881.5,0.178,45745.0,0.184,0.449
55487.0,0.14,18209.5,4.65,14721.0,0.184,6021.0,0.219,0.067,18077.0,17454.0,22541.0,0.726,13280.0,0.106,0.693,0.441,0.092,0.101,0.045,0.17,null,7311.5,"Moruya - Tuross Head",0.44,27103.0,7533.0,16135.0,25548.0,null,5284.5,17679.0,11665.0,25109.0,0.24,101041026,0.181,40049.0,0.119,22698.0,0.07,0.432
58376.5,0.133,22424.0,4.276,14244.5,0.204,10000.0,0.167,0.038,11449.0,17174.0,23262.0,0.454,20979.0,0.131,0.606,0.348,0.046,0.044,0.086,0.11,null,11037.0,"Narooma - Bermagui",0.674,22763.0,9578.0,19271.5,18716.0,null,2479.0,18589.0,13190.0,26883.0,0.249,101041027,0.173,28810.0,0.136,20500.0,0.096,0.424
81365.0,0.368,26290.0,14.76,36910.0,0.497,4030.0,0.937,0.213,21591.5,27464.0,30541.0,1.725,32948.5,0.371,2.073,1.726,0.113,0.122,0.376,0.714,0.065,7961.0,"Goulburn",1.457,52638.0,12810.0,17403.0,39345.0,86826.0,4924.0,31083.0,21022.5,38877.0,0.776,101051539,1.111,66626.0,0.431,29625.0,0.235,1.033
81984.0,0.249,30824.0,7.941,35933.0,0.325,2500.0,0.363,0.091,25664.0,19942.0,28440.0,0.639,23288.0,1.085,0.822,0.803,0.078,0.058,0.23,0.377,0.051,6039.0,"Goulburn Region",0.53,47672.0,12225.0,27533.0,33953.0,81641.5,7905.5,25622.0,13244.0,27740.0,0.448,101051540,0.382,59412.0,0.237,42820.5,0.092,0.627
