emp_total_female_45_64, total_male_15_64, employment_female, employment_female_25_44, emp_total_male_65up, employment_male_rate, employment_female_25_44_rate, employment_male_15_24, sa2_name16, employment_male, employment_female_45_64_rate, emp_total_person_15up, employment_male_65up, emp_total_female_15up, emp_total_female_25_44, emp_total_male_15up, employment_female_rate, employment_female_15_24_rate, emp_total_male_15_24, total_person_15_64, employment_male_45_64_rate, employment_male_25_44_rate, emp_total_male_25_44, employment_rate, employment_male_25_44, employment_female_65up, employment_female_45_64, employment_female_15_24, employment_male_45_64, total_female_15_64, employment_total, employment_female_65up_rate, emp_total_female_15_24, emp_total_female_65up, employment_male_65up_rate, sa2_code16, employment_male_15_24_rate, emp_total_male_45_64
586,1671,1244,574,229,84.141235,79.72222,188,"Queanbeyan - East",1406,75.255974,3748,55,1848,720,1900,78.33753,68.43971,282,3259,77.72277,88.37804,783,81.313286,692,36,441,193,471,1588,2650,13.846154,282,260,24.017467,"101021010",66.666664,606
2406,5143,4279,1687,944,88.27532,86.646126,527,"Queanbeyan Region",4540,77.59767,12114,260,6027,1947,6087,81.7383,64.73923,885,10378,83.680984,94.153336,1813,84.97784,1707,154,1867,571,2046,5235,8819,19.444445,882,792,27.542374,"101021011",59.548023,2445
2345,5646,4106,1824,1307,77.860435,73.16486,539,"Gosford - Springfield",4396,65.2452,14543,217,7590,2493,6953,70.32026,58.94106,1000,11485,71.06831,84.78702,2465,74.02699,2090,162,1530,590,1550,5839,8502,9.251856,1001,1751,16.602907,"102011032",53.9,2181
941,2006,1526,578,606,84.99502,73.35025,210,"Blayney",1705,70.13815,5322,175,2710,788,2612,73.11931,55.586594,358,4093,75.69804,86.34361,681,78.93965,588,89,660,199,732,2087,3231,14.285714,358,623,28.877888,"103041076",58.659218,967
2254,5120,3817,1545,1559,74.66797,71.19816,563,"Orange",3823,67.03638,14293,238,7614,2170,6679,68.96116,52.11521,1042,10655,68.62464,79.889114,1984,71.70342,1585,182,1511,579,1437,5535,7640,8.754209,1111,2079,15.266196,"103041077",54.03071,2094
2204,5721,4559,2146,1071,82.90509,77.47292,678,"Orange - North",4743,71.46098,14187,197,7395,2770,6792,74.32344,61.12069,1132,11855,78.02916,89.07692,2600,78.46478,2316,129,1575,709,1552,6134,9302,10.229977,1160,1261,18.394024,"103041078",59.893993,1989
1486,3273,2574,927,975,90.86465,78.3601,358,"Orange Region",2974,76.37954,8428,346,4180,1183,4248,79.102646,52.649574,642,6527,83.333336,90.37239,1101,85.00076,995,204,1135,308,1275,3254,5548,22.030237,585,926,35.48718,"103041079",55.76324,1530
2344,5013,3204,1222,1700,65.70916,63.18511,489,"Grafton",3294,58.788395,14183,203,7470,1934,6713,61.098396,48.861282,1018,10257,61.12446,69.48798,1914,63.351856,1330,132,1378,472,1272,5244,6498,5.9299192,966,2226,11.941176,"104011080",48.035362,2081
2441,4375,2650,768,1610,67.81715,61.146496,376,"Grafton Region",2967,58.377712,11714,268,5729,1256,5985,60.654613,46.42857,770,8744,59.406338,75.71942,1112,64.238335,842,145,1425,312,1481,4369,5617,10.661765,672,1360,16.645964,"104011081",48.83117,2493
2375,3897,2627,824,2410,68.976135,66.88312,336,"Maclean - Yamba - Iluka",2688,56.37895,13026,226,6719,1232,6307,62.57742,55.499153,614,8095,57.61682,78.12773,1143,65.657814,893,136,1339,328,1233,4198,5315,5.394685,591,2521,9.377593,"104011082",54.723125,2140
902,1511,1142,390,480,73.527466,64.35644,105,"Bellingen",1111,66.18626,4249,80,2258,606,1991,65.897285,39.11111,248,3244,69.140625,79.79798,495,69.451294,395,67,597,88,531,1733,2253,12.761905,225,525,16.666666,"104021083",42.33871,768
2209,4703,3411,1367,1496,72.99596,70.50026,543,"Coffs Harbour - North",3433,62.426437,13090,173,6891,1939,6199,67.5981,58.463253,1005,9749,67.60635,80.022896,1747,70.20207,1398,140,1379,525,1319,5046,6844,7.588076,898,1845,11.564171,"104021084",54.02985,1951
1252,2606,2032,793,928,74.90407,73.020256,320,"Coffs Harbour - South",1952,63.178913,7638,130,4104,1086,3534,70.09313,64.527626,567,5505,65.26717,82.542885,991,72.370575,818,86,791,362,684,2899,3984,7.1369295,561,1205,14.00862,"104021085",56.43739,1048
573,1118,844,287,309,79.60644,73.77892,110,"Coramba - Nana Glen - Bucca",890,70.680626,2815,51,1388,389,1427,72.57094,60.696518,183,2281,74.23208,84.240685,349,76.01929,294,30,405,122,435,1163,1734,13.333333,201,225,16.504854,"104021086",60.10929,586
868,1992,1426,504,601,74.04619,75.56222,240,"Cooma",1475,71.65899,5169,105,2576,667,2593,76.297485,63.772453,389,3861,71.21034,69.680855,752,75.13598,524,87,622,213,606,1869,2901,12.305516,334,707,17.470882,"101031014",61.69666,851
677,1423,1012,318,460,87.06957,73.95349,134,"Calga - Kulnura",1239,70.75333,3565,135,1682,430,1883,75.29762,59.07173,235,2767,80.16086,84.162895,442,81.35165,372,75,479,140,598,1344,2251,22.189348,237,338,29.347826,"102011030",57.02128,746
1851,3498,2809,960,1532,80.44597,76.31161,386,"Erina - Green Point",2814,68.17936,10964,170,5934,1258,5030,74.29252,66.666664,705,7279,76.44527,86.97515,1167,77.24962,1015,139,1262,448,1243,3781,5623,6.4561076,672,2153,11.096605,"102011031",54.751774,1626
796,2128,1469,604,269,79.32331,75.21793,283,"Kariong",1688,73.36684,4735,54,2338,803,2397,71.69351,55.77778,520,4177,84.56712,83.47719,811,75.58056,677,30,584,251,674,2049,3157,10.380623,450,289,20.07435,"102011033",54.423077,797
932,1820,1459,550,773,81.42857,78.01418,224,"Kincumber - Picketts Valley",1482,66.20171,5782,63,3189,705,2593,73.09619,65.73816,381,3816,78.20344,88.41642,682,77.07023,603,56,617,236,592,1996,2941,4.6940484,359,1193,8.150064,"102011034",58.792652,757
981,2050,1591,606,416,83.46342,74.63054,246,"Narara",1711,69.21509,5105,72,2639,812,2466,72.252495,63.569683,415,4252,82.129745,88.26406,818,77.65757,722,46,679,260,671,2202,3302,10.526316,409,437,17.307692,"102011035",59.277107,817
1291,2789,2293,913,747,85.44281,80.93971,323,"Wamberal - Forresters Beach",2383,72.96669,7297,110,3761,1128,3536,77.10155,67.20721,532,5763,81.99673,91.5942,1035,81.1383,948,65,942,373,1002,2974,4676,8.2592125,555,787,14.725569,"102011041",60.714287,1222
1848,3766,2593,996,1426,71.747215,69.11867,341,"Woy Woy - Blackwall",2702,60.11905,11012,120,5820,1441,5192,65.895805,56.19195,671,7701,63.70065,82.97568,1398,68.7573,1160,123,1111,363,1081,3935,5295,6.525199,646,1885,8.415147,"102011042",50.81967,1697
527,879,550,147,351,71.89989,61.25,65,"Dorrigo",632,56.356735,2486,97,1256,240,1230,61.728394,36.29032,144,1770,61.585365,68.72428,243,66.77966,167,61,297,45,303,891,1182,16.712328,124,365,27.635328,"104021087",45.13889,492
1351,2444,1999,747,723,83.10147,77.24922,227,"Korora - Emerald Beach",2031,69.72613,6575,131,3408,967,3167,73.60088,59.045227,383,5160,75.19116,89.140274,884,78.10078,788,75,942,235,885,2716,4030,10.83815,398,692,18.118948,"104021088",59.26893,1177
1769,4167,3485,1442,434,87.32901,84.87345,568,"Queanbeyan West - Jerrabomberra",3639,80.553986,9320,95,4719,1699,4601,81.44426,69.667076,881,8446,87.38028,94.3084,1511,84.34762,1425,53,1425,565,1551,4279,7124,12.045455,811,440,21.8894,"101021012",64.47219,1775
314,694,474,158,252,86.59943,74.528305,75,"Bombala",601,68.15286,1845,74,899,212,946,75.71885,56.0,114,1320,74.22096,83.70044,227,81.43939,190,46,214,56,262,626,1075,16.849817,100,273,29.36508,"101031013",65.789474,353
2801,6948,4638,1908,1720,72.99943,72.824425,822,"Goulburn",5072,65.476616,17353,261,8685,2620,8668,70.2089,61.772152,1428,13554,71.561,72.93659,2823,71.639366,2059,164,1834,732,1930,6606,9710,7.8884077,1185,2079,15.174418,"101051539",57.563026,2697
1800,3533,2586,889,1351,88.14039,78.395065,367,"Goulburn Region",3114,66.388885,9540,400,4656,1134,4884,74.848045,53.934742,600,6988,75.96154,87.18191,1061,81.568405,925,221,1195,281,1422,3455,5700,18.401333,521,1201,29.607698,"101051540",61.166668,1872
804,1733,1471,593,490,86.381996,79.278076,220,"Yass",1497,72.38806,4705,95,2482,748,2223,77.17734,66.666664,320,3639,78.01608,89.955025,667,81.56087,600,60,582,236,582,1906,2968,10.416667,354,576,19.387754,"101061541",68.75,746
1679,3427,2902,1076,825,91.33353,84.19405,345,"Yass Region",3130,76.414536,8522,343,4270,1278,4252,82.16308,60.0,586,6959,81.62668,92.491165,1132,86.67912,1047,198,1283,345,1395,3532,6032,26.829268,575,738,41.575756,"101061542",58.87372,1709
